Matricule,AR1,AV1,DIST1,AR2,AV2,DIST2,DH1,DH2,DH_Moyenne,Coherent
AM2,1.003800,,,1.012620,,,,,,True
1,0.977020,1.997280,20.234,0.989530,2.006140,20.234,-1.020260,-1.016610,-1.018435,False
2,1.246580,1.891120,20.844,1.248800,1.903650,20.834,-0.644540,-0.654850,-0.649695,False
3,1.840040,2.000100,22.740,1.841270,2.002360,22.736,-0.160060,-0.161090,-0.160575,True
